id,split,domain_l1_en,domain_l1_zh,domain_l2_en,domain_l2_zh,domain_path_en,domain_path_zh
20167,tob,Robotics & Automation,机器人与自动化,Automation Control Engineer,自动化控制工程师,Robotics & Automation > Automation Control Engineer,机器人与自动化->自动化控制工程师
20168,tob,Robotics & Automation,机器人与自动化,Robotics Implementation Consultant,机器人工程实施顾问,Robotics & Automation > Robotics Implementation Consultant,机器人与自动化->机器人工程实施顾问
20169,tob,Biotech & Bioinformatics,生物科技与生物信息,Bioinformatics Analyst,生物信息分析师,Biotech & Bioinformatics > Bioinformatics Analyst,生物科技与生物信息->生物信息分析师
20170,tob,Biotech & Bioinformatics,生物科技与生物信息,Clinical Data Analyst,临床数据分析师,Biotech & Bioinformatics > Clinical Data Analyst,生物科技与生物信息->临床数据分析师
20171,tob,Biotech & Bioinformatics,生物科技与生物信息,Drug R&D Researcher,药物研发研究员,Biotech & Bioinformatics > Drug R&D Researcher,生物科技与生物信息->药物研发研究员
20172,tob,Natural Science & Mathematics,自然科学与数学,Mathematical Modeling Engineer,数学建模工程师,Natural Science & Mathematics > Mathematical Modeling Engineer,自然科学与数学->数学建模工程师
20173,tob,Natural Science & Mathematics,自然科学与数学,Operations Research Engineer,运筹优化工程师,Natural Science & Mathematics > Operations Research Engineer,自然科学与数学->运筹优化工程师
20174,tob,Natural Science & Mathematics,自然科学与数学,Scientific Computing Researcher,科学计算研究员,Natural Science & Mathematics > Scientific Computing Researcher,自然科学与数学->科学计算研究员
20175,tob,Semiconductor & Electronics,半导体与电子,Chip Verification Engineer,芯片验证工程师,Semiconductor & Electronics > Chip Verification Engineer,半导体与电子->芯片验证工程师
20176,tob,Semiconductor & Electronics,半导体与电子,Embedded Systems Engineer,嵌入式系统工程师,Semiconductor & Electronics > Embedded Systems Engineer,半导体与电子->嵌入式系统工程师
20177,tob,Semiconductor & Electronics,半导体与电子,Electronics Test Engineer,电子测试工程师,Semiconductor & Electronics > Electronics Test Engineer,半导体与电子->电子测试工程师
20178,tob,Government & Public Sector,政务与公共事业,Government Service Operations Specialist,政务服务运营专员,Government & Public Sector > Government Service Operations Specialist,政务与公共事业->政务服务运营专员
20179,tob,Government & Public Sector,政务与公共事业,Urban Governance Analyst,城市治理分析师,Government & Public Sector > Urban Governance Analyst,政务与公共事业->城市治理分析师
20180,tob,Government & Public Sector,政务与公共事业,Public Utility Dispatcher,公用事业调度员,Government & Public Sector > Public Utility Dispatcher,政务与公共事业->公用事业调度员
20181,tob,IT & Internet,IT互联网,On-chain Data Analyst,链上数据分析师,IT & Internet > On-chain Data Analyst,IT互联网->链上数据分析师
20182,tob,IT & Internet,IT互联网,Smart Contract Security Auditor,智能合约安全审计员,IT & Internet > Smart Contract Security Auditor,IT互联网->智能合约安全审计员
20183,tob,Media,传媒行业,Content Creator,自媒体主理人,Media > Content Creator,传媒行业->自媒体主理人
20184,tob,Media,传媒行业,Livestream Operations,直播运营,Media > Livestream Operations,传媒行业->直播运营
20185,tob,Marketing,市场营销,Omnichannel Operations Specialist,全域运营专员,Marketing > Omnichannel Operations Specialist,市场营销->全域运营专员
30000,toe,Email Communication,邮件沟通,Client Follow-up Emails,客户跟进邮件,Email Communication > Client Follow-up Emails,邮件沟通->客户跟进邮件
30001,toe,Email Communication,邮件沟通,Meeting Minutes Emails,会议纪要邮件,Email Communication > Meeting Minutes Emails,邮件沟通->会议纪要邮件
30002,toe,Email Communication,邮件沟通,Email Template Management,邮件模板管理,Email Communication > Email Template Management,邮件沟通->邮件模板管理
30003,toe,Meeting Management,会议管理,Meeting Scheduling Coordination,会议预约协调,Meeting Management > Meeting Scheduling Coordination,会议管理->会议预约协调
30004,toe,Meeting Management,会议管理,Meeting Agenda Preparation,会议议程准备,Meeting Management > Meeting Agenda Preparation,会议管理->会议议程准备
30005,toe,Scheduling,日程安排,Personal Schedule Management,个人日程管理,Scheduling > Personal Schedule Management,日程安排->个人日程管理
30006,toe,Scheduling,日程安排,Team Schedule Coordination,团队日程协调,Scheduling > Team Schedule Coordination,日程安排->团队日程协调
30007,toe,Document Handling,文档处理,Document Version Control,文档版本管理,Document Handling > Document Version Control,文档处理->文档版本管理
30008,toe,Document Handling,文档处理,Document Approval Workflow,文档审批流程,Document Handling > Document Approval Workflow,文档处理->文档审批流程
30009,toe,Data Analysis,数据分析,Sales Data Analysis,销售数据分析,Data Analysis > Sales Data Analysis,数据分析->销售数据分析
30010,toe,Data Analysis,数据分析,Customer Data Analysis,客户数据分析,Data Analysis > Customer Data Analysis,数据分析->客户数据分析
30011,toe,Data Analysis,数据分析,Operations Data Analysis,运营数据分析,Data Analysis > Operations Data Analysis,数据分析->运营数据分析
30012,toe,Customer Management,客户管理,Customer Information Maintenance,客户信息维护,Customer Management > Customer Information Maintenance,客户管理->客户信息维护
30013,toe,Customer Management,客户管理,Customer Tier Management,客户分级管理,Customer Management > Customer Tier Management,客户管理->客户分级管理
30014,toe,Project Management,项目管理,Project Progress Tracking,项目进度跟踪,Project Management > Project Progress Tracking,项目管理->项目进度跟踪
30015,toe,Project Management,项目管理,Task Assignment Management,任务分配管理,Project Management > Task Assignment Management,项目管理->任务分配管理
30016,toe,Project Management,项目管理,Project Risk Management,项目风险管理,Project Management > Project Risk Management,项目管理->项目风险管理
30017,toe,Expense Reimbursement,财务报销,Travel Expense Reimbursement,差旅费用报销,Expense Reimbursement > Travel Expense Reimbursement,财务报销->差旅费用报销
30018,toe,Expense Reimbursement,财务报销,Routine Expense Reimbursement,日常费用报销,Expense Reimbursement > Routine Expense Reimbursement,财务报销->日常费用报销
30019,toe,Travel Booking,差旅预订,Business Trip Itinerary Planning,出差行程规划,Travel Booking > Business Trip Itinerary Planning,差旅预订->出差行程规划
30020,toe,Travel Booking,差旅预订,Travel Expense Control,差旅费用控制,Travel Booking > Travel Expense Control,差旅预订->差旅费用控制
30021,toe,HR Operations,人事相关,Attendance Management,考勤管理,HR Operations > Attendance Management,人事相关->考勤管理
30022,toe,HR Operations,人事相关,Employee Records Management,员工档案管理,HR Operations > Employee Records Management,人事相关->员工档案管理
30023,toe,Market Research,市场调研,Industry Trend Analysis,行业趋势分析,Market Research > Industry Trend Analysis,市场调研->行业趋势分析
30024,toe,Market Research,市场调研,User Needs Research,用户需求调研,Market Research > User Needs Research,市场调研->用户需求调研
30025,toe,Competitor Analysis,竞品分析,Competitor Feature Comparison,竞品功能对比,Competitor Analysis > Competitor Feature Comparison,竞品分析->竞品功能对比
30026,toe,Competitor Analysis,竞品分析,Competitor Pricing Analysis,竞品定价分析,Competitor Analysis > Competitor Pricing Analysis,竞品分析->竞品定价分析
30027,toe,Report Writing,报告撰写,Weekly/Monthly Report Writing,周报月报撰写,Report Writing > Weekly/Monthly Report Writing,报告撰写->周报月报撰写
30028,toe,Report Writing,报告撰写,Special Report Writing,专项报告撰写,Report Writing > Special Report Writing,报告撰写->专项报告撰写
30029,toe,Knowledge Management,知识管理,Knowledge Base Maintenance,知识库维护,Knowledge Management > Knowledge Base Maintenance,知识管理->知识库维护
30030,toe,Knowledge Management,知识管理,Knowledge Sharing Organization,知识分享组织,Knowledge Management > Knowledge Sharing Organization,知识管理->知识分享组织
30031,toe,Task Collaboration,任务协作,Cross-department Collaboration,跨部门协作,Task Collaboration > Cross-department Collaboration,任务协作->跨部门协作
30032,toe,Task Collaboration,任务协作,Remote Collaboration Management,远程协作管理,Task Collaboration > Remote Collaboration Management,任务协作->远程协作管理
30033,toe,Approval Workflow,审批流程,Procurement Approval,采购审批,Approval Workflow > Procurement Approval,审批流程->采购审批
30034,toe,Approval Workflow,审批流程,Contract Approval,合同审批,Approval Workflow > Contract Approval,审批流程->合同审批
30035,toe,Training & Learning,培训学习,Training Plan Development,培训计划制定,Training & Learning > Training Plan Development,培训学习->培训计划制定
30036,toe,Training & Learning,培训学习,Training Effectiveness Evaluation,培训效果评估,Training & Learning > Training Effectiveness Evaluation,培训学习->培训效果评估
30037,toe,Recruiting & Interviews,招聘面试,Candidate Screening,候选人筛选,Recruiting & Interviews > Candidate Screening,招聘面试->候选人筛选
30038,toe,Recruiting & Interviews,招聘面试,Interview Scheduling Coordination,面试安排协调,Recruiting & Interviews > Interview Scheduling Coordination,招聘面试->面试安排协调
30039,toe,Performance Review,绩效考核,Performance Goal Setting,绩效目标设定,Performance Review > Performance Goal Setting,绩效考核->绩效目标设定
30040,toe,Performance Review,绩效考核,Performance Evaluation Execution,绩效评估执行,Performance Review > Performance Evaluation Execution,绩效考核->绩效评估执行
30041,toe,Administrative Affairs,行政事务,Office Supplies Management,办公用品管理,Administrative Affairs > Office Supplies Management,行政事务->办公用品管理
30042,toe,Administrative Affairs,行政事务,Fixed Asset Management,固定资产管理,Administrative Affairs > Fixed Asset Management,行政事务->固定资产管理
30043,toe,Contract Management,合同管理,Contract Drafting & Review,合同起草审核,Contract Management > Contract Drafting & Review,合同管理->合同起草审核
30044,toe,Contract Management,合同管理,Contract Performance Tracking,合同履约跟踪,Contract Management > Contract Performance Tracking,合同管理->合同履约跟踪
30045,toe,Vendor Management,供应商管理,Vendor Evaluation,供应商评估,Vendor Management > Vendor Evaluation,供应商管理->供应商评估
30046,toe,Vendor Management,供应商管理,Vendor Relationship Management,供应商关系维护,Vendor Management > Vendor Relationship Management,供应商管理->供应商关系维护
30047,toe,Inventory Management,库存管理,Inventory Counting,库存盘点,Inventory Management > Inventory Counting,库存管理->库存盘点
30048,toe,Inventory Management,库存管理,Inventory Alert Management,库存预警管理,Inventory Management > Inventory Alert Management,库存管理->库存预警管理
30049,toe,Sales Support,销售支持,Sales Material Preparation,销售材料准备,Sales Support > Sales Material Preparation,销售支持->销售材料准备
30050,toe,Sales Support,销售支持,Sales Lead Follow-up Support,商机跟进支持,Sales Support > Sales Lead Follow-up Support,销售支持->商机跟进支持
30051,toe,Legal & Compliance,法务合规,Compliance Review,合规审查,Legal & Compliance > Compliance Review,法务合规->合规审查
30052,toe,Legal & Compliance,法务合规,IP Management,知识产权管理,Legal & Compliance > IP Management,法务合规->知识产权管理
30053,toe,Customer Service,客户服务,Customer Ticket Handling,客户工单处理,Customer Service > Customer Ticket Handling,客户服务->客户工单处理
30054,toe,Customer Service,客户服务,Complaint Escalation Handling,投诉升级处理,Customer Service > Complaint Escalation Handling,客户服务->投诉升级处理
30055,toe,Customer Service,客户服务,FAQ & Reply Template Maintenance,FAQ与回复模板维护,Customer Service > FAQ & Reply Template Maintenance,客户服务->FAQ与回复模板维护
30056,toe,Procurement & Reconciliation,采购与对账,Procurement Request Management,采购申请管理,Procurement & Reconciliation > Procurement Request Management,采购与对账->采购申请管理
30057,toe,Procurement & Reconciliation,采购与对账,Vendor Reconciliation,供应商对账,Procurement & Reconciliation > Vendor Reconciliation,采购与对账->供应商对账
30058,toe,Procurement & Reconciliation,采购与对账,Invoice & Payment Follow-up,发票与付款跟进,Procurement & Reconciliation > Invoice & Payment Follow-up,采购与对账->发票与付款跟进
30059,toe,Business Material Preparation,商务材料制作,Client Proposal Writing,客户提案撰写,Business Material Preparation > Client Proposal Writing,商务材料制作->客户提案撰写
30060,toe,Business Material Preparation,商务材料制作,Presentation Material Preparation,汇报材料制作,Business Material Preparation > Presentation Material Preparation,商务材料制作->汇报材料制作
30061,toe,Business Material Preparation,商务材料制作,External Proposal Updates,对外方案更新,Business Material Preparation > External Proposal Updates,商务材料制作->对外方案更新
30062,toe,Process Automation,流程自动化,Cross-system Data Sync,跨系统数据同步,Process Automation > Cross-system Data Sync,流程自动化->跨系统数据同步
30063,toe,Process Automation,流程自动化,Periodic Process Orchestration,周期性流程编排,Process Automation > Periodic Process Orchestration,流程自动化->周期性流程编排
30064,toe,Process Automation,流程自动化,Automated Approval Trigger,审批流自动触发,Process Automation > Automated Approval Trigger,流程自动化->审批流自动触发
30065,toe,Digital Content Operations,数字内容运营,Cross-platform Content Distribution & Review,跨平台内容分发与复盘,Digital Content Operations > Cross-platform Content Distribution & Review,数字内容运营->跨平台内容分发与复盘
30066,toe,Digital Content Operations,数字内容运营,Livestream Event Operations,直播活动运营,Digital Content Operations > Livestream Event Operations,数字内容运营->直播活动运营
